DOH_Reg_Office,Fac_County,Fac_ID,Fac_Type,Fac_Name,Week_End_Report_Date,Week_End_Report_Count,Confirmed_In_Facility,Confirmed_Out_Of_Facility,Presumed_In_Facility
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-S-131,AL,WILLOW TOWERS EHP,04/21/2020,1,0,11,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-F-941,AL,VILLAGE WALK A CARLISLE ASSISTED LIVING COMMUNITY,04/21/2020,2,0,3,0
Metropolitan Area Regional Office - New York City,RICHMOND,610-E-012,AL,THE BRIELLE AT SEAVIEW,04/21/2020,1,1,3,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-S-141,AL,THE OSBORN,04/21/2020,1,0,3,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-F-988,AL,THE KENSINGTON,04/21/2020,3,0,4,1
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-F-981,AL,THE FOUNTAINS AT RIVERVUE,04/21/2020,2,7,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-F-919,AL,BRANDYWINE SENIOR LIVING AT HUNTINGTON TERRACE,04/21/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-F-915,AL,THE ARBORS AT ISLANDIA WEST,04/21/2020,1,0,2,0
Metropolitan Area Regional Office - New York City,RICHMOND,610-F-066,AL,"MARINERS RESIDENCE, INC.",04/21/2020,2,0,5,0
Capital District Regional Office,SCHENECTADY,650-F-103,AL,"KINGSWAY MANOR, LLC",04/21/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-S-291,AL,THE VINCENT BOVE CENTER AT JEFFERSON FERRY,04/21/2020,1,1,0,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-F-927,AL,SUNRISE OF SMITHTOWN,04/21/2020,1,7,4,1
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-F-994,AL,SUNRISE OF CRESTWOOD,04/21/2020,1,1,0,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-S-303,AL,THE BRISTAL AT EAST NORTHPORT,04/21/2020,3,0,9,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-S-145,AL,THE BRISTAL AT WHITE PLAINS,04/21/2020,2,0,2,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-S-143,AL,FIVE STAR PREMIER RESIDENCES OF YONKERS,04/21/2020,1,0,3,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-F-943,AL,BIRCHWOOD SUITES,04/21/2020,2,3,9,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-F-916,AL,THE ARBORS AT HAUPPAUGE,04/21/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-S-147,AL,ATRIA ON THE HUDSON,04/21/2020,2,0,3,0
Capital District Regional Office,SCHENECTADY,650-E-007,AL,INGERSOLL PLACE,04/21/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,ROCKLAND,620-F-085,AL,PROMENADE AT BLUE HILL,04/21/2020,1,1,0,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-F-891,AL,MARYVILLE ASSISTED LIVING,04/21/2020,1,0,0,1
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-S-287,AL,DOMINICAN VILLAGE ENRICHED HOUSING PROGRAM 1,04/21/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-S-289,AL,GURWIN JEWISH FAY J. LINDNER RESIDENCE,04/21/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,ROCKLAND,620-F-089,AL,SUNRISE OF NEW CITY,04/21/2020,1,1,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-F-925,AL,SUNRISE OF HOLBROOK,04/21/2020,2,0,2,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-E-136,AL,WILLOW GARDENS,04/21/2020,3,0,2,2
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-S-125,AL,MEADOWVIEW AT THE WARTBURG,04/21/2020,2,1,4,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-S-298,AL,"THE SHORES AT PECONIC LANDING ASSISTED LIVING RESIDENCE, INC.",04/21/2020,1,2,2,1
Metropolitan Area Regional Office - New Rochelle,ROCKLAND,620-F-097,AL,BRIGHTVIEW LAKE TAPPAN,04/21/2020,1,0,3,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-F-923,AL,SUNRISE OF DIX HILLS,04/21/2020,1,2,12,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-F-914,AL,THE ARBORS AT ISLANDIA EAST,04/21/2020,1,0,4,0
Metropolitan Area Regional Office - New York City,RICHMOND,610-S-003,AL,SUNRISE OF STATEN ISLAND,04/21/2020,2,2,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-F-913,AL,THE ARBORS AT BOHEMIA,04/21/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-F-134,AL,YORKTOWN ASSISTED LIVING RESIDENCE,04/21/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-F-992,AL,FIVE STAR PREMIER RESIDENCES OF YONKERS,04/21/2020,1,2,3,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-F-131,AL,BRIGHTVIEW TARRYTOWN,04/21/2020,1,1,2,2
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-S-153,AL,THE AMBASSADOR AT SCARSDALE,04/21/2020,2,9,9,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-F-947,AL,BRIGHTVIEW SAYVILLE,04/21/2020,2,0,2,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-F-957,AL,WHISPER WOODS OF SMITHTOWN,04/21/2020,1,2,3,0
Metropolitan Area Regional Office - Long Island,NASSAU,400-S-332,AL,THE BRISTAL AT JERICHO,04/21/2020,1,0,2,0
Metropolitan Area Regional Office - Long Island,NASSAU,400-F-307,AL,THE ARBORS AT WESTBURY,04/21/2020,3,0,6,0
Metropolitan Area Regional Office - New York City,QUEENS,590-F-313,AL,"SEAVIEW MANOR, LLC",04/21/2020,1,0,2,0
Metropolitan Area Regional Office - Long Island,NASSAU,400-S-299,AL,THE BRISTAL AT EAST MEADOW,04/21/2020,1,0,2,0
Metropolitan Area Regional Office - New York City,NEW YORK,420-S-393,AL,305 WEST END ASSISTED LIVING,04/21/2020,2,0,2,0
Metropolitan Area Regional Office - Long Island,NASSAU,400-F-313,AL,OYSTER BAY MANOR,04/21/2020,1,1,1,0
Metropolitan Area Regional Office - Long Island,NASSAU,400-F-331,AL,AMBER COURT OF WESTBURY,04/21/2020,1,0,1,0
