COVID-19 Vaccinations in the United States
Date generated: Tue Jan 18 2022 13:47:08 GMT-0500 (Eastern Standard Time)
'Other' includes doses of vaccine administered or delivered that are not from Pfizer-BioNTech Moderna or J&J.

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
United States,651532915,196240,252278,526898876,158700,481925554,186605,248707432,74.9,224319007,86.9,208995438,62.9,189898172,73.5,382098995,239546120,29887800,0,17946980,200505745,307985354,460797,74014054,118341313,16508426,131645,73930759,99362576,16478629,126208,N/A,74.9,N/A,86.9,59.3,177939946,68.9,248707432,56273869,95,48213626,88,22995970,22827588,2330832,59236,134182485,244894,1189100,240739178,84.9,203683825,71.8,74008551,113040831,16503761,130682,513561336,181138,229801,248661024,79.6,208985262,66.9,74010909,118337281,16505467,131605,526844378,168717,208647,79681686,38.1,78369053,41.3,52084382,52.9,29806572,61.8,35314593,43161732,1187653,17708,39365086,30643739,4163940,N/A,40252369,32867341,1102886,17553,36546691,2782193,28592,7610,2288667,28319789,28834,6449,1382857,1734771,1045243,1069,34154,30588,217,2425,92.8,7.1,0.1,0,7.5,92.4,0.1,0,33.2,41.7,25.1,0,50.7,45.4,0.3,3.6
Alaska,1363605,186401,247226,1049726,143494,952610,172711,482103,65.9,429388,77.8,416919,57,376116,68.2,751145,528960,83500,0,41725,407811,599294,896,151583,227850,37378,108,151183,187605,37227,101,N/A,65.9,N/A,77.8,52.6,344296,62.4,482103,85966,93.9,77446,84.6,42609,31269,3525,43,208992,228187,1488850,463488,76.1,405681,66.6,151578,216623,37372,108,1019823,167492,223954,482020,70.8,416905,61.3,151580,227844,37373,108,1049632,154252,200393,157296,37.7,154481,41.1,97397,55.6,51376,66.3,72066,83118,2089,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alabama,8707560,177590,228253,5805754,118408,5457959,143070,2922396,59.6,2721695,71.3,2371514,48.4,2232461,58.5,4610140,3704120,393300,0,167509,2536402,3101441,402,992350,1221397,157162,605,991862,1082924,157072,603,N/A,59.6,N/A,71.3,45.9,2112191,55.4,2922396,792912,93.3,680322,80.1,361293,282451,36186,392,1776787,209074,1024620,2874367,68.7,2349953,56.1,992333,1199863,157152,605,5734519,136964,207973,2922028,63.4,2371454,51.5,992346,1221349,157154,605,5805335,125961,188932,723210,30.5,716630,32.1,557471,42.3,354327,52.1,350644,359719,12794,53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arkansas,5417050,179503,233730,3921016,129929,3601862,155410,1927417,63.9,1746627,75.4,1566427,51.9,1433889,61.9,2948390,2219560,249100,0,118555,1684296,2114372,3793,643605,812191,109480,1151,642457,681667,108943,822,N/A,63.9,N/A,75.4,49.1,1350111,58.3,1927417,488078,93.2,412038,78.7,231216,164776,15583,463,1126323,214996,1034020,1874196,73.3,1536649,60.1,643589,782845,109355,860,3838195,150091,211831,1925881,68.1,1566253,55.4,643594,812147,109362,1150,3919417,138528,191460,533402,34.1,526483,36.7,385474,48.3,242203,58.8,262710,261933,8347,412,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Samoa,84910,179165,270975,82022,173071,60797,194023,41820,88.2,30158,95,36364,76.7,26925,85.9,63610,20700,600,0,554,20327,61132,9,8917,26877,566,4,8898,17458,565,4,N/A,88.2,N/A,95,75.6,26403,84.3,41820,3003,91.6,2745,83.7,1150,1568,26,1,6536,199390,2590300,36598,95,32704,88.6,8916,23218,566,4,73080,197958,230002,41816,95,36364,84.4,8917,26877,566,4,82018,190253,196961,4459,12.3,4424,16.4,2420,24.7,914,33.3,1409,3050,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,13264520,182237,235250,10875574,149416,9932095,176148,5002185,68.7,4480257,79.5,4216573,57.9,3837858,68.1,7624600,5042920,597000,0,350340,4328307,6174949,21978,1581204,2309853,319451,6065,1580503,1932390,318997,5968,N/A,68.7,N/A,79.5,54.5,3587925,63.6,5002185,1263019,95,1099697,84,536099,510716,49627,3255,3150033,240712,1013620,4838509,78,4127317,66.5,1581158,2220902,319206,6051,10616377,171065,213735,5001423,73,4216281,61.6,1581186,2309814,319216,6065,10874662,158779,193673,1444602,34.3,1423712,37.1,988471,47.9,603260,54.9,643871,780858,19229,644,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bureau of Prisons,312010,N/A,N/A,287114,N/A,287112,N/A,137508,N/A,137506,N/A,129464,N/A,129463,N/A,159510,136400,16100,0,14135,125435,147512,32,50543,65464,13457,0,50543,65464,13456,0,N/A,N/A,N/A,N/A,0,118227,0,137508,3807,0,3598,0,1723,1680,195,0,9171,0,0,137506,0,129463,0,50543,65464,13456,0,287112,0,0,137506,0,129463,0,50543,65464,13456,0,287112,0,0,32855,25.4,32855,25.4,11217,39.2,1939,53.9,19185,13007,641,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
California,80702245,204246,263581,68632084,173698,61990593,202467,33490862,84.8,29844233,95,26591835,67.3,23804599,77.7,48155025,28930320,3616900,0,2240269,25959092,40416430,16293,9287664,15236013,2063422,4736,9261432,12483294,2055505,4368,N/A,84.8,N/A,95,63.7,22400360,73.2,33490862,6562298,95,5099108,87.3,2572029,2322304,203350,1425,14702099,251830,1382330,32313726,95,25817358,76.7,9286834,14463012,2062836,4676,66675488,198166,239855,33484450,90.2,26590574,71.6,9287317,15235474,2063047,4736,68624742,184830,217359,10264540,38.6,10056906,42.2,5952367,53.4,3133985,61.5,4600342,5496359,167397,442,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Colorado,11303685,196288,251237,9828217,170666,8943042,198769,4363582,75.8,3898756,86.7,3863700,67.1,3476925,77.3,6644085,4180200,479400,0,328396,3842363,5649283,8175,1393504,2166452,301454,2290,1392913,1780681,301119,2212,N/A,75.8,N/A,86.7,63.7,3283679,73,4363582,840688,95,768592,91.2,366643,372842,28303,804,2175445,258240,1341820,4194258,85,3740449,75.8,1393448,2043288,301429,2284,9533867,193147,229002,4362642,80.4,3863635,71.2,1393490,2166420,301435,2290,9827230,181096,208304,1742860,45.1,1712849,49.3,1014450,62.9,546077,71,799662,920376,22572,250,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Connecticut,7848415,220134,276562,6929267,194354,6281743,221356,3242327,90.9,2897368,95,2698310,75.7,2422180,85.4,4521175,2991940,335300,0,240576,2646825,4040653,1213,922669,1549869,225332,440,922151,1274549,225147,333,N/A,90.9,N/A,95,71.4,2268893,80,3242327,721451,95,597490,94.8,235030,340027,22333,100,1733312,275022,1245300,3125769,95,2616792,84.3,922350,1468754,225251,437,6729672,216671,252690,3240981,95,2697867,79.7,922461,1549714,225253,439,6927501,204739,231956,1180636,43.8,1159340,47.9,776692,60.4,416808,69.8,563952,602411,14256,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
